chart	key	label
TLA_name	Far North District	Far North District
TLA_name	Whangarei District	Whangarei District
TLA_name	Kaipara District	Kaipara District
TLA_name	Thames-Coromandel District	Thames-Coromandel District
TLA_name	Hauraki District	Hauraki District
TLA_name	Waikato District	Waikato District
TLA_name	Matamata-Piako District	Matamata-Piako District
TLA_name	Hamilton City	Hamilton City
TLA_name	Waipa District	Waipa District
TLA_name	Otorohanga District	Otorohanga District
TLA_name	South Waikato District	South Waikato District
TLA_name	Waitomo District	Waitomo District
TLA_name	Taupo District	Taupo District
TLA_name	Western Bay of Plenty District	Western Bay Of Plenty District
TLA_name	Tauranga City	Tauranga City
TLA_name	Rotorua District	Rotorua District
TLA_name	Whakatane District	Whakatane District
TLA_name	Stratford District	Stratford District
TLA_name	South Taranaki District	South Taranaki District
TLA_name	Ruapehu District	Ruapehu District
TLA_name	Wanganui District	Wanganui District
TLA_name	Rangitikei District	Rangitikei District
TLA_name	Manawatu District	Manawatu District
TLA_name	Palmerston North City	Palmerston North City
TLA_name	Tararua District	Tararua District
TLA_name	New Plymouth District	New Plymouth District
TLA_name	Horowhenua District	Horowhenua District
TLA_name	Kapiti Coast District	Kapiti Coast District
TLA_name	Porirua City	Porirua City
TLA_name	Kawerau District	Kawerau District
TLA_name	Opotiki District	Opotiki District
TLA_name	Gisborne District	Gisborne District
TLA_name	Wairoa District	Wairoa District
TLA_name	Hastings District	Hastings District
TLA_name	Napier City	Napier City
TLA_name	Central Hawke's Bay District	Central Hawkes Bay District
TLA_name	Upper Hutt City	Upper Hutt City
TLA_name	Lower Hutt City	Hutt City
TLA_name	Wellington City	Wellington City
TLA_name	Masterton District	Masterton District
TLA_name	Carterton District	Carterton District
TLA_name	South Wairarapa District	South Wairarapa District
TLA_name	Tasman District	Tasman District
TLA_name	Nelson City	Nelson City
TLA_name	Marlborough District	Marlborough District
TLA_name	Kaikoura District	Kaikoura District
TLA_name	Buller District	Buller District
TLA_name	Grey District	Grey District
TLA_name	Westland District	Westland District
TLA_name	Hurunui District	Hurunui District
TLA_name	Waimakariri District	Waimakariri District
TLA_name	Selwyn District	Selwyn District
TLA_name	Ashburton District	Ashburton District
TLA_name	Timaru District	Timaru District
TLA_name	Mackenzie District	Mackenzie District
TLA_name	Waimate District	Waimate District
TLA_name	Waitaki District	Waitaki District
TLA_name	Central Otago District	Central Otago District
TLA_name	Queenstown-Lakes District	Queenstown-Lakes District
TLA_name	Dunedin City	Dunedin City
TLA_name	Clutha District	Clutha District
TLA_name	Southland District	Southland District
TLA_name	Gore District	Gore District
TLA_name	Invercargill City	Invercargill City
TLA_name	Christchurch City	Christchurch City
TLA_name	Auckland	Auckland

